"","status.of.existing.checking.account","duration.in.month","credit.history","purpose","credit.amount","savings.account.and.bonds","present.employment.since","installment.rate.in.percentage.of.disposable.income","personal.status.and.sex","other.debtors.or.guarantors","present.residence.since","property","age.in.years","other.installment.plans","housing","number.of.existing.credits.at.this.bank","job","number.of.people.being.liable.to.provide.maintenance.for","telephone","foreign.worker","creditability"
"114","no checking account",36,"critical account/ other credits existing (not at this bank)","car (new)",7855,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",25,"stores","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"115","... < 0 DM",12,"existing credits paid back duly till now","radio/television",1680,"500 <= ... < 1000 DM","... >= 7 years",3,"male : married/widowed","none",1,"real estate",35,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"116","no checking account",48,"critical account/ other credits existing (not at this bank)","radio/television",3578,"unknown/ no savings account","... >= 7 years",4,"male : single","none",1,"real estate",47,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"117","... < 0 DM",42,"existing credits paid back duly till now","radio/television",7174,"unknown/ no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other, not in attribute Savings account/bonds",30,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"118","... < 0 DM",10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2132,"unknown/ no savings account","... < 1 year",2,"female : divorced/separated/married","co-applicant",3,"real estate",27,"none","rent",2,"unskilled - residentskilled employee / official","1","none","no","good"
"119","... < 0 DM",33,"critical account/ other credits existing (not at this bank)","furniture/equipment",4281,"500 <= ... < 1000 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",23,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"120","0 <= ... < 200 DM",12,"critical account/ other credits existing (not at this bank)","car (new)",2366,"500 <= ... < 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",3,"car or other, not in attribute Savings account/bonds",36,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
"121","... < 0 DM",21,"existing credits paid back duly till now","radio/television",1835,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",25,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"122","no checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",3868,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",41,"none","rent",2,"OTHER","1","yes, registered under the customers name","yes","good"
"123","no checking account",12,"existing credits paid back duly till now","furniture/equipment",1768,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",24,"none","rent",1,"unskilled - resident","1","none","yes","good"
"124","... >= 200 DM / salary assignments for at least 1 year",10,"critical account/ other credits existing (not at this bank)","car (new)",781,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown / no property",63,"none","for free",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"125","0 <= ... < 200 DM",18,"existing credits paid back duly till now","furniture/equipment",1924,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",3,"real estate",27,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"126","... < 0 DM",12,"critical account/ other credits existing (not at this bank)","car (new)",2121,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/ life insurance",30,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"127","... < 0 DM",12,"existing credits paid back duly till now","radio/television",701,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident","1","none","yes","good"
"128","0 <= ... < 200 DM",12,"existing credits paid back duly till now","OTHER",639,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",30,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"129","0 <= ... < 200 DM",12,"critical account/ other credits existing (not at this bank)","car (used)",1860,"... < 100 DM","unemployed",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",34,"none","own",2,"OTHER","1","yes, registered under the customers name","yes","good"
"130","... < 0 DM",12,"critical account/ other credits existing (not at this bank)","car (new)",3499,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","co-applicant",2,"real estate",29,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"131","0 <= ... < 200 DM",48,"existing credits paid back duly till now","car (new)",8487,"unknown/ no savings account","4 <= ... < 7 years",1,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",24,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"132","... < 0 DM",36,"delay in paying off in the past","education",6887,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"building society savings agreement/ life insurance",29,"stores","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"133","no checking account",15,"existing credits paid back duly till now","furniture/equipment",2708,"... < 100 DM","... < 1 year",2,"male : single","none",3,"building society savings agreement/ life insurance",27,"bank","own",2,"unskilled - resident","1","none","yes","good"
"134","no checking account",18,"existing credits paid back duly till now","furniture/equipment",1984,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown / no property",47,"bank","for free",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"135","no checking account",60,"existing credits paid back duly till now","radio/television",10144,"100 <= ... < 500 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"real estate",21,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"136","no checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",1240,"unknown/ no savings account","... >= 7 years",4,"female : divorced/separated/married","none",2,"real estate",38,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"137","no checking account",27,"delay in paying off in the past","car (used)",8613,"... >= 1000 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other, not in attribute Savings account/bonds",27,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"138","0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",766,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"male : single","none",3,"real estate",66,"none","own",1,"unskilled - resident","1","none","yes","bad"
"139","0 <= ... < 200 DM",15,"critical account/ other credits existing (not at this bank)","radio/television",2728,"unknown/ no savings account","4 <= ... < 7 years",4,"male : single","guarantor",2,"real estate",35,"bank","own",3,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"140","... >= 200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","radio/television",1881,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",44,"none","rent",1,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"141","... >= 200 DM / salary assignments for at least 1 year",6,"existing credits paid back duly till now","car (new)",709,"... >= 1000 DM","... < 1 year",2,"male : married/widowed","none",2,"real estate",27,"none","own",1,"OTHER","1","none","no","good"
"142","0 <= ... < 200 DM",36,"existing credits paid back duly till now","radio/television",4795,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"unknown / no property",30,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
"143","... < 0 DM",27,"existing credits paid back duly till now","radio/television",3416,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"car or other, not in attribute Savings account/bonds",27,"none","own",1,"OTHER","1","none","yes","good"
"144","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2462,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other, not in attribute Savings account/bonds",22,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"145","no checking account",21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2288,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",23,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"146","0 <= ... < 200 DM",48,"all credits at this bank paid back duly","business",3566,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",30,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"147","... < 0 DM",6,"critical account/ other credits existing (not at this bank)","car (new)",860,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"unknown / no property",39,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
