,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
131,0 <= ... < 200 DM,NA,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 <= ... < 7 years,1,NA,NA,2,"car or other, not in attribute Savings account/bonds",24,NA,own,NA,unskilled - residentskilled employee / official,1,NA,yes,good
132,... < 0 DM,36,NA,education,6887,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,stores,own,1,NA,1,"yes, registered under the customers name",yes,bad
133,no checking account,15,existing credits paid back duly till now,NA,2708,... < 100 DM,... < 1 year,NA,male : single,none,3,building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes,good
134,no checking account,18,existing credits paid back duly till now,NA,1984,... < 100 DM,1 <= ... < 4 years,4,NA,none,4,unknown / no property,47,NA,for free,2,unskilled - residentskilled employee / official,NA,none,yes,good
135,no checking account,60,NA,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,NA,none,NA,1,NA,1,"yes, registered under the customers name",yes,good
136,no checking account,12,NA,radio/television,1240,NA,... >= 7 years,4,female : divorced/separated/married,NA,2,real estate,NA,NA,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
137,no checking account,27,NA,car (used),8613,NA,NA,2,male : single,none,NA,"car or other, not in attribute Savings account/bonds",27,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
138,NA,12,existing credits paid back duly till now,NA,NA,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,3,NA,66,none,own,1,unskilled - resident,1,none,yes,bad
139,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4 <= ... < 7 years,NA,male : single,guarantor,2,NA,35,bank,own,3,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
140,... >= 200 DM / salary assignments for at least 1 year,12,NA,radio/television,1881,NA,NA,2,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",44,NA,rent,NA,unskilled - resident,1,"yes, registered under the customers name",yes,good
141,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),NA,... >= 1000 DM,... < 1 year,2,NA,none,2,real estate,27,none,own,1,OTHER,1,none,no,good
142,0 <= ... < 200 DM,36,NA,radio/television,4795,... < 100 DM,... < 1 year,4,female : divorced/separated/married,NA,1,unknown / no property,NA,none,NA,1,OTHER,1,"yes, registered under the customers name",NA,good
143,... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,... < 100 DM,1 <= ... < 4 years,3,male : single,NA,NA,NA,NA,none,own,1,OTHER,NA,none,yes,good
144,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,NA,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",22,none,NA,NA,unskilled - residentskilled employee / official,1,none,yes,bad
145,no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,... < 100 DM,... < 1 year,NA,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,NA,none,own,1,NA,NA,"yes, registered under the customers name",yes,good
146,0 <= ... < 200 DM,48,NA,NA,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,2,NA,30,none,own,1,NA,1,none,yes,good
147,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,NA,NA,female : divorced/separated/married,none,4,unknown / no property,39,none,NA,NA,unskilled - residentskilled employee / official,NA,NA,yes,good
148,no checking account,12,critical account/ other credits existing (not at this bank),car (new),NA,NA,NA,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",51,none,own,2,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
149,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
150,NA,18,critical account/ other credits existing (not at this bank),NA,1582,... >= 1000 DM,... >= 7 years,4,male : single,none,4,NA,46,none,own,2,unskilled - residentskilled employee / official,1,none,NA,good
151,no checking account,6,existing credits paid back duly till now,NA,NA,100 <= ... < 500 DM,... >= 7 years,2,male : single,NA,NA,unknown / no property,42,bank,for free,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
152,no checking account,NA,existing credits paid back duly till now,radio/television,1924,... < 100 DM,1 <= ... < 4 years,NA,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
153,... >= 200 DM / salary assignments for at least 1 year,NA,existing credits paid back duly till now,radio/television,5848,... < 100 DM,NA,NA,male : single,none,1,"car or other, not in attribute Savings account/bonds",24,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
154,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,NA,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,NA,1,none,yes,good
155,0 <= ... < 200 DM,NA,NA,business,NA,100 <= ... < 500 DM,NA,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",36,NA,rent,NA,NA,1,"yes, registered under the customers name",yes,good
156,NA,12,existing credits paid back duly till now,furniture/equipment,1282,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",20,none,rent,NA,unskilled - residentskilled employee / official,1,none,yes,bad
157,NA,9,NA,NA,1288,100 <= ... < 500 DM,... >= 7 years,3,male : single,NA,4,real estate,48,NA,own,2,unskilled - residentskilled employee / official,2,NA,no,good
158,NA,NA,all credits at this bank paid back duly,OTHER,339,... < 100 DM,... >= 7 years,NA,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",45,bank,own,1,unskilled - resident,1,none,yes,good
159,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,NA,NA,male : single,none,NA,NA,38,bank,own,2,NA,NA,"yes, registered under the customers name",yes,good
160,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,NA,unknown/ no savings account,1 <= ... < 4 years,1,NA,none,NA,real estate,34,NA,own,NA,unskilled - resident,2,NA,yes,good
161,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,4,real estate,36,none,own,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
162,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,NA,unskilled - residentskilled employee / official,1,NA,yes,good
163,no checking account,15,existing credits paid back duly till now,OTHER,NA,NA,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,36,none,own,NA,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
164,0 <= ... < 200 DM,10,NA,car (new),7308,NA,NA,NA,male : single,none,4,unknown / no property,NA,NA,for free,NA,NA,1,"yes, registered under the customers name",yes,good
165,NA,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,NA,building society savings agreement/ life insurance,36,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
166,no checking account,NA,existing credits paid back duly till now,NA,NA,500 <= ... < 1000 DM,1 <= ... < 4 years,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",NA,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
167,NA,18,NA,NA,1131,... < 100 DM,unemployed,4,female : divorced/separated/married,NA,2,"car or other, not in attribute Savings account/bonds",NA,none,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
168,0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,NA,... >= 1000 DM,... < 1 year,4,NA,NA,1,real estate,20,none,own,NA,NA,NA,none,yes,good
169,no checking account,NA,existing credits paid back duly till now,furniture/equipment,3972,... < 100 DM,4 <= ... < 7 years,NA,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,NA,none,rent,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
170,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,1935,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,31,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,bad
171,... < 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,... < 100 DM,... >= 7 years,4,male : single,none,3,NA,NA,none,rent,NA,unskilled - residentskilled employee / official,2,NA,yes,bad
172,no checking account,12,NA,furniture/equipment,763,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,NA,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
173,0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,NA,... < 100 DM,unemployed,3,female : divorced/separated/married,none,2,NA,NA,none,NA,NA,OTHER,NA,"yes, registered under the customers name",yes,bad
174,0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1414,NA,NA,4,male : single,NA,2,NA,33,none,own,1,unskilled - residentskilled employee / official,1,none,no,good
175,... < 0 DM,21,delay in paying off in the past,education,3414,NA,... < 1 year,NA,male : single,none,1,building society savings agreement/ life insurance,NA,none,own,2,unskilled - residentskilled employee / official,1,none,yes,bad
176,NA,30,all credits at this bank paid back duly,NA,7485,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,1,NA,NA,bank,own,1,NA,1,"yes, registered under the customers name",yes,bad
177,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,1,NA,NA,none,NA,1,NA,1,none,yes,good
178,... < 0 DM,6,NA,radio/television,338,NA,... >= 7 years,4,male : single,none,NA,NA,NA,none,own,2,NA,NA,NA,yes,good
179,no checking account,12,existing credits paid back duly till now,radio/television,NA,... < 100 DM,NA,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,none,rent,NA,OTHER,2,"yes, registered under the customers name",yes,good
180,... < 0 DM,NA,critical account/ other credits existing (not at this bank),car (new),571,... < 100 DM,NA,4,male : single,none,4,NA,NA,none,NA,2,unskilled - residentskilled employee / official,NA,NA,yes,good
181,no checking account,NA,delay in paying off in the past,NA,9572,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",28,none,own,2,unskilled - residentskilled employee / official,1,none,yes,bad
182,0 <= ... < 200 DM,NA,delay in paying off in the past,business,4455,... < 100 DM,1 <= ... < 4 years,2,NA,NA,NA,real estate,30,NA,own,NA,OTHER,1,"yes, registered under the customers name",yes,bad
183,... < 0 DM,NA,NA,car (new),1647,NA,1 <= ... < 4 years,4,NA,none,2,building society savings agreement/ life insurance,NA,none,own,2,NA,2,none,yes,bad
184,no checking account,24,critical account/ other credits existing (not at this bank),NA,3777,NA,1 <= ... < 4 years,4,male : single,none,4,real estate,50,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
185,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),NA,884,NA,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",36,NA,own,1,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",NA,bad
186,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,31,none,own,2,unskilled - residentskilled employee / official,1,none,NA,good
187,0 <= ... < 200 DM,9,NA,car (used),NA,... < 100 DM,... >= 7 years,2,NA,none,4,NA,74,NA,NA,NA,OTHER,2,NA,yes,bad
188,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,unemployed,NA,male : single,none,3,NA,68,NA,for free,3,OTHER,1,"yes, registered under the customers name",yes,good
